representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=10,0.6758751902587519,0.5934065934065934,0.4931506849315068
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=5,0.6758751902587518,0.6043956043956044,0.5135135135135135
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=10,0.6758751902587518,0.6043956043956044,0.5135135135135135
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=0.5,0.6758371385083713,0.6153846153846154,0.4927536231884058
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=0.5,0.6758371385083713,0.6153846153846154,0.5070422535211268
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Logistic C=10,0.6758371385083713,0.6043956043956044,0.4857142857142857
TAGS_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=10,0.6732876712328768,0.6043956043956044,0.4857142857142857
CAPTION_TAGS,"(1, 2)","(3, 5)",Logistic C=2,0.6732115677321158,0.6483516483516484,0.4838709677419355
TAGS_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=3,0.6732115677321157,0.6043956043956044,0.5
CAPTION_TAGS,"(1, 3)","(3, 6)",Logistic C=5,0.6731735159817351,0.6153846153846154,0.4927536231884058
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=10,0.6731735159817351,0.6043956043956044,0.5
CAPTION_TAGS,"(1, 4)","(3, 7)",Logistic C=5,0.6731735159817351,0.6043956043956044,0.47058823529411764
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=0.3,0.6731735159817351,0.5934065934065934,0.44776119402985076
CAPTION_TAGS,"(1, 3)","(3, 6)",Logistic C=10,0.6731354642313546,0.6153846153846154,0.4927536231884058
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Logistic C=5,0.6731354642313546,0.6043956043956044,0.47058823529411764
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=0.5,0.6730974124809742,0.6263736263736264,0.5277777777777778
TAGS_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=0.3,0.6730974124809741,0.6593406593406593,0.6172839506172839
CAPTION_ONLY,"(1, 4)","(3, 7)",Logistic C=10,0.6730974124809741,0.6373626373626373,0.5352112676056338
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=1,0.6730974124809741,0.6263736263736264,0.5142857142857142
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=0.3,0.6730974124809741,0.6153846153846154,0.4927536231884058
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=1,0.6730593607305937,0.6043956043956044,0.5135135135135135
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=5,0.6705479452054794,0.5934065934065934,0.44776119402985076
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=10,0.6705479452054794,0.5934065934065934,0.44776119402985076
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=0.5,0.6703957382039574,0.6043956043956044,0.47058823529411764
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=0.3,0.670357686453577,0.6483516483516484,0.5428571428571428
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=0.5,0.6703576864535769,0.6153846153846154,0.4927536231884058
CAPTION_TAGS,"(1, 1)","(3, 5)",Logistic C=5,0.6703576864535769,0.5824175824175825,0.42424242424242425
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=0.3,0.6703576864535769,0.5824175824175825,0.4411764705882353
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=2,0.6703196347031964,0.6263736263736264,0.5277777777777778
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=5,0.6703196347031963,0.6263736263736264,0.5277777777777778
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=2,0.6703196347031963,0.6043956043956044,0.5
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=0.3,0.6703196347031962,0.6483516483516484,0.5428571428571428
CAPTION_ONLY,"(1, 3)","(3, 6)",Logistic C=5,0.6703196347031962,0.6373626373626373,0.5074626865671642
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Logistic C=10,0.6702815829528158,0.6043956043956044,0.4857142857142857
TAGS_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=3,0.6677701674277017,0.6263736263736264,0.5405405405405406
TAGS_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=10,0.6677701674277017,0.6153846153846154,0.5205479452054794
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Logistic C=2,0.6676940639269408,0.6153846153846154,0.4262295081967213
TAGS_ONLY,"(1, 1)","(3, 5)",SVM C=10,0.6676940639269408,0.5934065934065934,0.4307692307692308
CAPTION_TAGS,"(1, 3)","(3, 6)",Logistic C=2,0.66765601217656,0.6593406593406593,0.5230769230769231
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=0.5,0.6676179604261796,0.6043956043956044,0.45454545454545453
CAPTION_ONLY,"(1, 4)","(3, 7)",Logistic C=5,0.6675799086757991,0.6483516483516484,0.5428571428571428
CAPTION_TAGS,"(1, 2)","(3, 5)",Logistic C=10,0.6675799086757991,0.6153846153846154,0.47761194029850745
CAPTION_TAGS,"(1, 1)","(3, 5)",Logistic C=10,0.6675799086757991,0.5934065934065934,0.44776119402985076
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Logistic C=5,0.667579908675799,0.6153846153846154,0.4927536231884058
CAPTION_ONLY,"(1, 2)","(3, 5)",Logistic C=5,0.6675418569254186,0.6703296703296703,0.5588235294117647
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=0.3,0.6675418569254186,0.6483516483516484,0.5294117647058824
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=5,0.6675418569254186,0.6263736263736264,0.5142857142857142
